=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.06 22:49:12 =~=~=~=~=~=~=~=~=~=~=~=
2300048,4.40,2.59,-1.81,0
2310024,4.40,2.59,-1.81,0
2320440,4.40,2.42,-1.98,0
2330416,4.38,2.25,-2.13,-10
2340016,4.40,2.08,-2.32,-57
2350012,1.53,2.08,0.55,0
2360356,0.50,1.91,1.41,0
2370268,0.52,1.74,1.22,0
2380204,0.50,1.74,1.24,0
2390172,0.50,1.56,1.07,0
2400116,0.50,1.39,0.89,0
2410036,0.50,1.22,0.72,0
2420436,0.50,1.22,0.72,0
2430400,0.50,1.05,0.55,0
2440360,0.48,0.87,0.39,0
2450308,0.48,0.87,0.39,0
2460188,0.50,0.70,0.20,0
2470024,0.50,0.52,0.03,0
2480380,0.48,0.35,-0.13,0
2490196,0.50,0.35,-0.15,0
2500140,0.50,0.17,-0.32,0
2510120,0.48,-0.00,-0.48,0
2520088,0.50,-0.00,-0.50,0
2530040,0.50,-0.17,-0.67,0
2540428,0.50,-0.35,-0.85,0
2550376,0.50,-0.52,-1.02,0
2560340,0.48,-0.52,-1.00,0
2570292,0.48,-0.70,-1.18,0
2580228,0.48,-0.87,-1.35,0
2590180,0.48,-0.87,-1.35,0
2600132,0.48,-1.05,-1.53,0
2610068,0.48,-1.22,-1.70,0
2620004,0.50,-1.39,-1.89,0
2630404,0.48,-1.39,-1.87,0
2640324,0.48,-1.56,-2.05,-10
2650256,-0.08,-1.74,-1.66,0
2660212,-0.53,-1.91,-1.37,0
2670172,-0.57,-1.91,-1.34,0
2680152,-0.57,-2.08,-1.51,0
2690116,-0.57,-2.25,-1.68,0
2700068,-0.57,-2.25,-1.68,0
2710028,-0.57,-2.42,-1.85,0
2720388,-0.57,-2.59,-2.02,-10
2730324,-0.57,-2.76,-2.19,-10
2740240,-0.57,-2.76,-2.19,-10
2750172,-2.19,-2.92,-0.73,0
2760144,-4.06,-3.09,0.97,0
2770112,-4.12,-3.09,1.03,0
2780112,-4.12,-3.26,0.86,0
2790120,-4.10,-3.42,0.68,0
2800104,-4.13,-3.58,0.55,0
2810112,-4.12,-3.58,0.53,0
2820120,-4.13,-3.75,0.39,0
2830104,-4.12,-3.91,0.21,0
2840112,-4.13,-3.91,0.23,0
2850092,-4.13,-4.07,0.07,0
2860040,-4.13,-4.23,-0.09,0
2870424,-4.10,-4.38,-0.28,0
2880424,-4.13,-4.38,-0.25,0
2890420,-4.13,-4.54,-0.41,0
2900424,-4.13,-4.69,-0.56,0
2910416,-4.13,-4.69,-0.56,0
2920436,-4.13,-4.85,-0.71,0
2930436,-4.13,-5.00,-0.87,0
2940396,-4.13,-5.15,-1.02,0
2950420,-4.13,-5.15,-1.02,0
2960412,-4.13,-5.30,-1.16,0
2970388,-4.13,-5.45,-1.31,0
2980372,-4.13,-5.45,-1.31,0
2990364,-4.13,-5.59,-1.46,0
3000372,-4.13,-5.74,-1.60,0
3010340,-4.13,-5.88,-1.74,0
3020300,-4.13,-5.88,-1.74,0
3030284,-4.13,-6.02,-1.88,0
3040228,-4.13,-6.16,-2.02,-10
3050156,-4.13,-6.29,-2.16,-10
3060100,-4.13,-6.29,-2.16,-10
